1	104	1.0
1	39	1.0
1	40	1.0
1	42	1.0
1	105	1.0
2	19	1.0
2	67	1.0
2	58	1.0
3	104	1.0
3	71	1.0
3	39	1.0
3	40	1.0
3	97	1.0
3	98	1.0
3	77	1.0
3	10	1.0
3	42	1.0
3	73	1.0
3	87	1.0
3	21	1.0
3	60	1.0
3	31	1.0
4	104	1.0
4	84	1.0
4	68	1.0
4	29	1.0
4	105	1.0
5	85	1.0
5	71	1.0
5	87	1.0
5	39	1.0
5	40	1.0
5	77	1.0
5	73	1.0
5	105	1.0
5	15	1.0
5	32	1.0
5	31	1.0
5	61	1.0
6	102	1.0
6	82	1.0
6	24	1.0
6	23	1.0
6	57	1.0
6	12	1.0
7	24	1.0
7	93	1.0
7	78	1.0
7	25	1.0
8	82	1.0
8	23	1.0
8	9	1.0
8	96	1.0
8	12	1.0
8	57	1.0
8	48	1.0
8	62	1.0
9	69	1.0
9	67	1.0
9	8	1.0
9	78	1.0
9	12	1.0
9	74	1.0
9	19	1.0
9	82	1.0
9	24	1.0
9	23	1.0
9	26	1.0
9	93	1.0
9	96	1.0
9	89	1.0
9	92	1.0
9	99	1.0
9	37	1.0
9	45	1.0
9	52	1.0
9	56	1.0
9	59	1.0
9	58	1.0
9	57	1.0
9	64	1.0
9	62	1.0
10	3	1.0
10	40	1.0
10	68	1.0
10	98	1.0
11	69	1.0
11	24	1.0
11	67	1.0
11	58	1.0
11	57	1.0
12	103	1.0
12	33	1.0
12	102	1.0
12	6	1.0
12	37	1.0
12	38	1.0
12	8	1.0
12	9	1.0
12	80	1.0
12	14	1.0
12	48	1.0
12	74	1.0
12	76	1.0
12	82	1.0
12	93	1.0
12	96	1.0
12	57	1.0
12	64	1.0
13	55	1.0
13	67	1.0
13	83	1.0
13	78	1.0
13	25	1.0
13	27	1.0
13	47	1.0
14	67	1.0
14	24	1.0
14	78	1.0
14	12	1.0
14	57	1.0
14	63	1.0
14	76	1.0
15	85	1.0
15	5	1.0
15	77	1.0
15	32	1.0
16	104	1.0
16	17	1.0
16	71	1.0
16	40	1.0
16	68	1.0
16	29	1.0
16	105	1.0
16	31	1.0
17	104	1.0
17	70	1.0
17	71	1.0
17	84	1.0
17	29	1.0
17	105	1.0
17	61	1.0
17	16	1.0
18	104	1.0
18	39	1.0
18	55	1.0
18	54	1.0
18	91	1.0
19	2	1.0
19	67	1.0
19	26	1.0
19	9	1.0
19	58	1.0
20	104	1.0
20	73	1.0
20	29	1.0
21	3	1.0
21	71	1.0
21	40	1.0
21	60	1.0
21	28	1.0
22	101	1.0
22	54	1.0
22	23	1.0
22	90	1.0
22	63	1.0
22	91	1.0
23	103	1.0
23	6	1.0
23	100	1.0
23	37	1.0
23	67	1.0
23	8	1.0
23	9	1.0
23	48	1.0
23	88	1.0
23	49	1.0
23	56	1.0
23	82	1.0
23	22	1.0
23	24	1.0
23	57	1.0
23	63	1.0
24	103	1.0
24	102	1.0
24	6	1.0
24	7	1.0
24	67	1.0
24	43	1.0
24	9	1.0
24	11	1.0
24	14	1.0
24	48	1.0
24	52	1.0
24	88	1.0
24	56	1.0
24	82	1.0
24	23	1.0
24	93	1.0
24	58	1.0
24	57	1.0
25	81	1.0
25	7	1.0
25	84	1.0
